year,price
2012-01-01,18.2
2012-01-03,18.4
2012-01-04,18.9
2012-01-05,18.8
2012-01-06,19.5
2012-01-07,19.3
2012-01-08,20.3
2012-01-10,20.2
2012-01-11,18.6
2012-01-12,18.2
2012-01-13,16.8
2012-01-14,17.4
2012-01-15,17.9
2012-01-17,17.4
2012-01-18,16.8
2012-01-19,15.4
2012-01-20,14.5
2012-01-21,14.1
2012-01-22,15.0
2012-01-28,15.6
2012-01-29,15.9
2012-01-30,15.3
2012-02-01,15.7
2012-02-02,16.7
2012-02-03,15.2
2012-02-04,15.6
2012-02-05,18.0
2012-02-06,19.7
2012-02-09,20.6
2012-02-10,18.8
2012-02-11,17.5
2012-02-12,18.7
2012-02-14,19.5
2012-02-15,19.7
2012-02-16,18.5
2012-02-17,17.8
2012-02-18,18.2
2012-02-19,18.3
2012-02-21,19.7
2012-02-22,20.7
2012-02-23,21.1
2012-02-24,21.5
2012-02-25,21.6
2012-02-26,22.5
2012-02-28,22.2
2012-02-29,23.0
2012-03-01,24.9
2012-03-02,25.8
2012-03-03,25.9
2012-03-04,28.2
2012-03-06,28.4
2012-03-07,28.3
2012-03-08,27.8
2012-03-09,25.9
2012-03-10,26.7
2012-03-11,28.5
2012-03-13,26.8
2012-03-14,26.3
2012-03-15,26.6
2012-03-16,27.2
2012-03-17,26.4
2012-03-18,26.5
2012-03-20,26.4
2012-03-21,26.5
2012-03-22,25.4
2012-03-23,25.8
2012-03-24,26.6
2012-03-25,26.5
2012-03-27,23.9
2012-03-28,22.7
2012-03-29,21.9
2012-03-30,20.7
2012-03-31,20.5
2012-04-01,19.5
2012-04-02,18.7
2012-04-03,19.0
2012-04-06,20.1
2012-04-07,20.4
2012-04-08,20.0
2012-04-10,20.4
2012-04-11,19.8
2012-04-12,19.7
2012-04-13,18.6
2012-04-14,19.0
2012-04-15,18.7
2012-04-17,17.5
2012-04-18,18.1
2012-04-19,19.0
2012-04-20,20.0
2012-04-21,20.9
2012-04-22,20.9
2012-04-24,19.3
2012-04-25,18.4
2012-04-26,17.5
2012-04-27,16.5
2012-04-28,16.6
2012-04-29,16.9
2012-05-01,17.3
2012-05-02,17.3
2012-05-03,16.4
2012-05-04,17.7
2012-05-05,19.4
2012-05-06,21.1
2012-05-08,21.8
2012-05-09,19.5
2012-05-10,19.1
2012-05-11,19.5
2012-05-12,19.8
2012-05-13,19.3
2012-05-15,17.3
2012-05-16,15.9
2012-05-17,16.5
2012-05-18,16.7
2012-05-19,17.5
2012-05-20,18.6
2012-05-22,19.8
2012-05-23,22.2
2012-05-24,22.0
2012-05-25,19.9
2012-05-26,20.0
2012-05-27,19.5
2012-05-29,19.6
2012-05-30,19.6
2012-05-31,19.0
2012-06-01,18.3
2012-06-02,20.1
2012-06-03,21.6
2012-06-05,19.9
2012-06-06,18.9
2012-06-07,19.2
2012-06-08,18.1
2012-06-09,17.6
2012-06-10,17.6
2012-06-12,17.1
2012-06-13,17.9
2012-06-14,17.7
2012-06-15,17.1
2012-06-16,16.3
2012-06-17,17.7
2012-06-19,18.9
2012-06-20,18.6
2012-06-21,18.7
2012-06-22,18.9
2012-06-23,18.7
2012-06-26,20.6
2012-06-27,17.8
2012-06-28,16.7
2012-06-29,16.6
2012-06-30,18.4
2012-07-01,20.3
2012-07-03,20.0
2012-07-04,19.1
2012-07-05,17.5
2012-07-06,16.8
2012-07-07,16.6
2012-07-08,17.2
2012-07-10,17.3
2012-07-11,16.1
2012-07-12,15.4
2012-07-13,14.6
2012-07-14,14.7
2012-07-15,15.7
2012-07-17,16.4
2012-07-18,17.7
2012-07-19,18.1
2012-07-20,17.5
2012-07-21,17.6
2012-07-22,19.0
2012-07-24,19.1
2012-07-25,18.9
2012-07-26,18.9
2012-07-27,18.6
2012-07-28,20.0
2012-07-29,21.8
2012-07-31,22.6
2012-08-01,25.7
2012-08-02,27.1
2012-08-03,27.3
2012-08-04,30.0
2012-08-05,36.1
2012-08-07,35.0
2012-08-08,33.5
2012-08-09,32.5
2012-08-10,32.6
2012-08-11,34.3
2012-08-12,34.4
2012-08-14,34.8
2012-08-15,35.9
2012-08-16,38.2
2012-08-17,39.9
2012-08-18,41.7
2012-08-19,41.0
2012-08-21,36.7
2012-08-22,37.2
2012-08-23,37.8
2012-08-24,37.8
2012-08-25,40.0
