trade_date,price,amount,d1_origin_price,d1_price,yesterday_amount,p_banana_d1_price,p_banana_d1_amount,d5_avg_price
2012/1/7,19.3,16890,13,19.5,21521,18.1,3684,18.76
2012/1/8,20.3,25639,12.67,19.3,14700,19.1,3355,18.98
2012/1/10,20.2,27206,12.5,20.3,19953,17.4,2356,19.36
2012/1/11,18.6,22410,12.67,20.2,18523,20.2,3157,19.62
2012/1/12,18.2,18030,12.33,18.6,22340,15.1,1866,19.58
2012/1/13,16.8,17385,12.5,18.2,16890,23.5,1804,19.32
2012/1/14,17.4,14895,12.5,16.8,25639,20.4,2204,18.82
2012/1/15,17.9,14610,12.33,17.4,27206,16.4,1909,18.24
2012/1/17,17.4,20415,12.33,17.9,22410,18.3,1606,17.78
2012/1/18,16.8,22320,12.33,17.4,18030,18.8,3104,17.54
2012/1/19,15.4,20820,12.67,16.8,17385,22.7,3139,17.26
2012/1/20,14.5,21411,12.67,15.4,14895,15.9,3766,16.98
2012/1/21,14.1,20250,13,14.5,14610,17.5,3141,16.4
2012/1/22,15,17970,12.83,14.1,20415,26.1,2463,15.64
2012/1/28,15.6,30030,12.5,15,22320,35.9,1392,15.16
2012/1/29,15.9,18915,12.17,15.6,20820,20.3,3820,14.92
2012/1/30,15.3,25065,12.33,15.9,21411,22,2289,15.02
2012/2/1,15.7,21695,12.67,15.3,20250,33,1416,15.18
2012/2/2,16.7,18515,12.33,15.7,17970,22,4484,15.5
2012/2/3,15.2,16500,12.33,16.7,30030,19.6,2605,15.84
2012/2/4,15.6,19680,12.33,15.2,18915,21.9,2382,15.76
2012/2/5,18,18825,12.33,15.6,25065,21.1,4718,15.7
2012/2/6,19.7,23370,12.33,18,21695,21,3006,16.24
2012/2/9,20.6,25800,12.67,19.7,18515,20.6,1474,17.04
2012/2/10,18.8,24885,12.5,20.6,16500,17.7,2505,17.82
2012/2/11,17.5,21447,12.5,18.8,19680,23.4,1580,18.54
2012/2/12,18.7,18570,12.33,17.5,18825,18.9,4946,18.92
2012/2/14,19.5,31970,12.17,18.7,23370,22.4,2459,19.06
2012/2/15,19.7,21555,12.33,19.5,25800,18.5,3716,19.02
2012/2/16,18.5,11925,12.5,19.7,24885,18.7,3638,18.84
2012/2/17,17.8,20655,12.5,18.5,21447,19,3331,18.78
2012/2/18,18.2,19109,12.5,17.8,18570,21.8,2891,18.84
2012/2/19,18.3,20405,12.5,18.2,31970,20.5,3568,18.74
2012/2/21,19.7,25561,12.5,18.3,21555,19,2726,18.5
2012/2/22,20.7,30930,12.33,19.7,11925,22.4,3966,18.5
2012/2/23,21.1,25515,12.67,20.7,20655,21.3,1420,18.94
2012/2/24,21.5,24651,12.67,21.1,19109,23.4,2135,19.6
2012/2/25,21.6,16510,13,21.5,20405,22.8,2773,20.26
2012/2/26,22.5,17307,13.83,21.6,25561,19.1,2600,20.92
2012/2/28,22.2,18301,14,22.5,30930,17.2,2857,21.48
2012/2/29,23,20756,14.67,22.2,25515,19.7,1987,21.78
2012/3/1,24.9,16191,14.67,23,24651,21.9,2107,22.16
2012/3/2,25.8,18032,15.83,24.9,16510,27.2,2239,22.84
2012/3/3,25.9,18047,16.67,25.8,17307,27.9,3608,23.68
2012/3/4,28.2,18172,17.33,25.9,18301,21.6,5855,24.36
2012/3/6,28.4,24645,17.6,28.2,20756,23.4,3707,25.56
2012/3/7,28.3,30561,19,28.4,16191,20.2,8138,26.64
2012/3/8,27.8,25557,19.67,28.3,18032,20.7,4976,27.32
2012/3/9,25.9,22916,20,27.8,18047,25.2,2830,27.72
2012/3/10,26.7,16466,20.5,25.9,18172,23.3,3252,27.72
2012/3/11,28.5,21285,21,26.7,24645,22.4,3616,27.42
2012/3/13,26.8,24961,21.83,28.5,30561,22.7,3567,27.44
2012/3/14,26.3,24285,22,26.8,25557,21.5,2572,27.14
2012/3/15,26.6,19793,22.17,26.3,22916,22.2,2779,26.84
2012/3/16,27.2,20064,22.17,26.6,16466,23.1,3619,26.98
2012/3/17,26.4,23055,22.67,27.2,21285,23.4,3831,27.08
2012/3/18,26.5,22289,23.17,26.4,24961,20.6,4774,26.66
2012/3/20,26.4,23161,23.17,26.5,24285,22.9,3786,26.6
2012/3/21,26.5,33491,22.17,26.4,19793,23.3,6739,26.62
2012/3/22,25.4,35175,22.17,26.5,20064,24,6007,26.6
2012/3/23,25.8,21537,22,25.4,23055,21.3,4674,26.24
2012/3/24,26.6,26289,21.17,25.8,22289,21.6,4177,26.12
2012/3/25,26.5,24158,20.33,26.6,23161,20,3399,26.14
2012/3/27,23.9,29311,20.67,26.5,33491,26.1,2101,26.16
2012/3/28,22.7,28503,19.83,23.9,35175,21.7,5714,25.64
2012/3/29,21.9,25746,19.17,22.7,21537,20.1,6062,25.1
2012/3/30,20.7,19111,19,21.9,26289,21.6,3307,24.32
2012/3/31,20.5,27420,18,20.7,24158,20.7,3551,23.14
2012/4/1,19.5,25461,17,20.5,29311,20.4,4733,21.94
2012/4/2,18.7,25221,16.6,19.5,28503,18.9,4419,21.06
2012/4/3,19,29008,16,18.7,25746,22.9,1659,20.26
2012/4/6,20.1,32805,13.8,19,19111,22.6,5631,19.68
2012/4/7,20.4,30405,12.8,20.1,27420,25.1,5421,19.56
2012/4/8,20,24555,13.2,20.4,25461,23.7,4445,19.54
2012/4/10,20.4,27498,13.2,20,25221,27.4,3507,19.64
2012/4/11,19.8,25245,13.2,20.4,29008,24.4,6129,19.98
2012/4/12,19.7,21919,13.2,19.8,32805,21.6,5963,20.14
2012/4/13,18.6,27765,13,19.7,30405,21.4,4917,20.06
2012/4/14,19,23402,13.2,18.6,24555,21.4,3083,19.7
2012/4/15,18.7,23394,13.2,19,27498,18.7,4051,19.5
2012/4/17,17.5,27630,13.2,18.7,25245,18.9,3471,19.16
2012/4/18,18.1,23851,13,17.5,21919,20.7,5895,18.7
2012/4/19,19,24120,12.8,18.1,27765,22.8,4556,18.38
2012/4/20,20,26835,12.8,19,23402,25.7,3837,18.46
2012/4/21,20.9,32340,12.8,20,23394,22.7,5346,18.66
2012/4/22,20.9,23737,12.6,20.9,27630,21.7,5728,19.1
2012/4/24,19.3,34643,12.4,20.9,23851,22.2,4923,19.78
2012/4/25,18.4,27037,12.2,19.3,24120,24.6,4846,20.02
2012/4/26,17.5,25770,11.2,18.4,26835,23.9,3492,19.9
2012/4/27,16.5,27619,11.4,17.5,32340,23.4,3624,19.4
2012/4/28,16.6,21030,11.2,16.5,23737,26.2,2933,18.52
2012/4/29,16.9,29564,11.2,16.6,34643,22.7,4676,17.66
2012/5/1,17.3,28110,11.2,16.9,27037,22.5,5137,17.18
2012/5/2,17.3,27000,11.2,17.3,25770,24.5,4765,16.96
2012/5/3,16.4,27227,11.6,17.3,27619,25,5524,16.92
2012/5/4,17.7,25410,11.6,16.4,21030,24,5903,16.9
2012/5/5,19.4,29364,12,17.7,29564,23.6,6189,17.12
2012/5/6,21.1,27822,12,19.4,28110,24.6,4534,17.62
2012/5/8,21.8,26385,11.4,21.1,27000,24.9,3596,18.38
2012/5/9,19.5,26287,12,21.8,27227,22.8,6914,19.28
2012/5/10,19.1,19274,11.8,19.5,25410,20.9,4644,19.9
2012/5/11,19.5,19380,11.8,19.1,29364,23,3961,20.18
2012/5/12,19.8,19062,11.8,19.5,27822,21.9,4501,20.2
2012/5/13,19.3,23406,12.6,19.8,26385,21.4,3943,19.94
2012/5/15,17.3,25508,11.8,19.3,26287,20.5,4067,19.44
2012/5/16,15.9,25040,12,17.3,19274,19.8,5619,19
2012/5/17,16.5,17700,12,15.9,19380,19.5,5271,18.36
2012/5/18,16.7,20311,12,16.5,19062,18.9,4920,17.76
