trade_date,price,amount,d1_origin_price,d1_price,yesterday_amount,p_banana_d1_price,p_banana_d1_amount,d5_avg_price
2020/5/1,41.2,14043,41.4,45,13155,37,4134,48.18
2020/5/1,41.2,14043,41.4,45,13155,37,4134,48.18
2020/5/2,38.3,15867,41.4,41.2,10044,38.9,3528,47.06
2020/5/3,36,17466,40,38.3,12629,38.8,2896,44.84
2020/5/5,38,15798,38.8,36,14511,35,2762,41.92
2020/5/6,38.9,17435,35.2,38,17334,41.1,4423,39.7
2020/5/7,37.4,17748,34,38.9,14043,45.1,3462,38.48
2020/5/8,38.4,15694,31.4,37.4,15867,41.5,2833,37.72
2020/5/9,39.9,15304,30,38.4,17466,44.1,2303,37.74
2020/5/10,34.5,18131,28.6,39.9,15798,39.3,3576,38.52
2020/5/12,32.4,17565,28.6,34.5,17435,30.6,3375,37.82
2020/5/13,29.4,17207,23.4,32.4,17748,40,3199,36.52
2020/5/14,26,20652,16.8,29.4,15694,36.5,2835,34.92
2020/5/15,25.9,16375,15.6,26,15304,34.3,4197,32.44
2020/5/16,23.3,21008,15.2,25.9,18131,30.6,4546,29.64
2020/5/17,21.8,20475,15,23.3,17565,29.2,4540,27.4
2020/5/19,22.5,20938,15,21.8,17207,33.5,2331,25.28
2020/5/20,23.1,19037,9.8,22.5,20652,35.3,3554,23.9
2020/5/21,23.3,21370,9.4,23.1,16375,35.2,3213,23.32
2020/5/22,22.2,23424,10,23.3,21008,43.5,2555,22.8
2020/5/23,22,24723,11.2,22.2,20475,36.3,2529,22.58
2020/5/24,25.1,17613,12,22,20938,35.4,1735,22.62
2020/5/26,25.4,19064,12,25.1,19037,39.2,1124,23.14
2020/5/27,28.6,17364,15.8,25.4,21370,38.1,3849,23.6
2020/5/28,27.6,13500,17,28.6,23424,29.6,2462,24.66
2020/5/29,26.5,11119,20.4,27.6,24723,33.8,2251,25.74
2020/5/30,30.2,12256,20.6,26.5,17613,33.8,2236,26.64
2020/5/31,32.1,12735,18,30.2,19064,35.4,2869,27.66
2020/6/2,29.4,17534,18,32.1,17364,35.7,2344,29
2020/6/3,28.9,15934,18.8,29.4,13500,35.1,5793,29.16
2020/6/4,28.8,17555,18.8,28.9,11119,31.3,2374,29.42
2020/6/5,28.6,17845,19.2,28.8,12256,40.6,2650,29.88
2020/6/6,28.1,23672,18.6,28.6,12735,34.2,3646,29.56
2020/6/7,24.6,19101,20,28.1,17534,32.9,3993,28.76
