price ,4.100,2.303,1.517
"price, amount ",4.157,2.472,1.572
"price, amount, d1_price ",4.609,3.269,1.808
"price, amount, d1_price, d1_origin_price ",4.857,3.306,1.818
"price, amount, d1_price, d1_origin_price, p_banana_d1_price ",4.554,3.258,1.805
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, p_banana_d1_amount ",4.766,3.672,1.916
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, exchange_rate_price ",5.012,3.788,1.946
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price ",4.676,3.776,1.943
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",4.786,4.126,2.031
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day ",4.563,3.207,1.791
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day, lunar_day_for_price ",4.482,3.366,1.835
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price ",4.456,3.246,1.802
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount ",4.485,3.171,1.781
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount, d5_avg_price ",5.795,4.756,2.181
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price ",4.787,3.172,1.781
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, exchange_rate_price ",4.924,3.496,1.870
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, t_month_price ",4.886,3.327,1.824
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",4.522,3.863,1.965
