trade_date,price
2012-01-07,19.30
2012-01-08,20.30
2012-01-10,20.20
2012-01-11,18.60
2012-01-12,18.20
2012-01-13,16.80
2012-01-14,17.40
2012-01-15,17.90
2012-01-17,17.40
2012-01-18,16.80
2012-01-19,15.40
2012-01-20,14.50
2012-01-21,14.10
2012-01-22,15.00
2012-01-28,15.60
2012-01-29,15.90
2012-01-30,15.30
2012-02-01,15.70
2012-02-02,16.70
2012-02-03,15.20
2012-02-04,15.60
2012-02-05,18.00
2012-02-06,19.70
2012-02-09,20.60
2012-02-10,18.80
2012-02-11,17.50
2012-02-12,18.70
2012-02-14,19.50
2012-02-15,19.70
2012-02-16,18.50
2012-02-17,17.80
2012-02-18,18.20
2012-02-19,18.30
2012-02-21,19.70
2012-02-22,20.70
2012-02-23,21.10
2012-02-24,21.50
2012-02-25,21.60
2012-02-26,22.50
2012-02-28,22.20
2012-02-29,23.00
2012-03-01,24.90
2012-03-02,25.80
2012-03-03,25.90
2012-03-04,28.20
2012-03-06,28.40
2012-03-07,28.30
2012-03-08,27.80
2012-03-09,25.90
2012-03-10,26.70
2012-03-11,28.50
2012-03-13,26.80
2012-03-14,26.30
2012-03-15,26.60
2012-03-16,27.20
2012-03-17,26.40
2012-03-18,26.50
2012-03-20,26.40
2012-03-21,26.50
2012-03-22,25.40
2012-03-23,25.80
2012-03-24,26.60
2012-03-25,26.50
2012-03-27,23.90
2012-03-28,22.70
2012-03-29,21.90
2012-03-30,20.70
2012-03-31,20.50
2012-04-01,19.50
2012-04-02,18.70
2012-04-03,19.00
2012-04-06,20.10
2012-04-07,20.40
2012-04-08,20.00
2012-04-10,20.40
2012-04-11,19.80
2012-04-12,19.70
2012-04-13,18.60
2012-04-14,19.00
2012-04-15,18.70
2012-04-17,17.50
2012-04-18,18.10
2012-04-19,19.00
2012-04-20,20.00
2012-04-21,20.90
2012-04-22,20.90
2012-04-24,19.30
2012-04-25,18.40
2012-04-26,17.50
2012-04-27,16.50
2012-04-28,16.60
2012-04-29,16.90
2012-05-01,17.30
2012-05-02,17.30
2012-05-03,16.40
2012-05-04,17.70
2012-05-05,19.40
2012-05-06,21.10
2012-05-08,21.80
2012-05-09,19.50
2012-05-10,19.10
2012-05-11,19.50
2012-05-12,19.80
2012-05-13,19.30
2012-05-15,17.30
2012-05-16,15.90
2012-05-17,16.50
2012-05-18,16.70
2012-05-19,17.50
2012-05-20,18.60
2012-05-22,19.80
2012-05-23,22.20
2012-05-24,22.00
2012-05-25,19.90
2012-05-26,20.00
2012-05-27,19.50
2012-05-29,19.60
2012-05-30,19.60
2012-05-31,19.00
2012-06-01,18.30
2012-06-02,20.10
2012-06-03,21.60
2012-06-05,19.90
2012-06-06,18.90
2012-06-07,19.20
2012-06-08,18.10
2012-06-09,17.60
2012-06-10,17.60
2012-06-12,17.10
2012-06-13,17.90
2012-06-14,17.70
2012-06-15,17.10
2012-06-16,16.30
2012-06-17,17.70
2012-06-19,18.90
2012-06-20,18.60
2012-06-21,18.70
2012-06-22,18.90
2012-06-23,18.70
2012-06-26,20.60
2012-06-27,17.80
2012-06-28,16.70
2012-06-29,16.60
2012-06-30,18.40
2012-07-01,20.30
2012-07-03,20.00
2012-07-04,19.10
2012-07-05,17.50
2012-07-06,16.80
2012-07-07,16.60
2012-07-08,17.20
2012-07-10,17.30
2012-07-11,16.10
2012-07-12,15.40
2012-07-13,14.60
2012-07-14,14.70
2012-07-15,15.70
2012-07-17,16.40
2012-07-18,17.70
2012-07-19,18.10
2012-07-20,17.50
2012-07-21,17.60
2012-07-22,19.00
2012-07-24,19.10
2012-07-25,18.90
2012-07-26,18.90
2012-07-27,18.60
2012-07-28,20.00
2012-07-29,21.80
2012-07-31,22.60
2012-08-01,25.70
2012-08-02,27.10
2012-08-03,27.30
2012-08-04,30.00
2012-08-05,36.10
2012-08-07,35.00
2012-08-08,33.50
2012-08-09,32.50
2012-08-10,32.60
2012-08-11,34.30
2012-08-12,34.40
2012-08-14,34.80
2012-08-15,35.90
2012-08-16,38.20
2012-08-17,39.90
2012-08-18,41.70
2012-08-19,41.00
2012-08-21,36.70
2012-08-22,37.20
2012-08-23,37.80
2012-08-24,37.80
2012-08-25,40.00
2012-08-26,39.50
2012-08-28,38.60
2012-08-29,40.50
2012-08-30,40.80
2012-08-31,42.90
2012-09-01,44.40
2012-09-02,42.80
2012-09-05,41.30
2012-09-06,36.50
2012-09-07,36.90
2012-09-08,41.70
2012-09-09,42.50
2012-09-11,40.40
2012-09-12,41.00
2012-09-13,41.00
2012-09-14,41.70
2012-09-15,45.60
2012-09-16,45.70
2012-09-18,42.60
2012-09-19,40.00
2012-09-20,36.10
2012-09-21,34.70
2012-09-22,35.00
2012-09-23,34.90
2012-09-25,35.80
2012-09-26,36.70
2012-09-27,35.70
2012-09-28,35.80
2012-09-29,37.90
2012-09-30,40.90
2012-10-03,36.50
2012-10-04,31.00
2012-10-05,29.70
2012-10-06,30.00
2012-10-07,34.90
2012-10-09,35.60
2012-10-10,33.20
2012-10-11,34.20
2012-10-12,34.30
2012-10-13,38.90
2012-10-14,40.20
2012-10-16,38.20
2012-10-17,35.40
2012-10-18,35.10
2012-10-19,35.70
2012-10-20,38.00
2012-10-21,41.90
2012-10-23,41.30
2012-10-24,39.00
2012-10-25,38.90
2012-10-26,39.80
2012-10-27,41.70
2012-10-28,43.40
2012-10-30,43.50
2012-10-31,40.40
2012-11-01,37.30
2012-11-02,37.30
2012-11-03,38.70
2012-11-04,39.20
2012-11-06,36.80
2012-11-07,36.40
2012-11-08,36.00
2012-11-09,35.00
2012-11-10,35.10
2012-11-11,36.30
2012-11-13,36.60
2012-11-14,38.00
2012-11-15,38.50
2012-11-16,38.30
2012-11-17,36.50
2012-11-18,33.90
2012-11-20,35.40
2012-11-21,34.60
2012-11-22,36.00
2012-11-23,32.70
2012-11-24,31.70
2012-11-25,33.90
2012-11-27,37.30
2012-11-28,40.70
2012-11-29,40.90
2012-11-30,38.50
2012-12-01,38.70
2012-12-02,37.80
2012-12-04,40.00
2012-12-05,40.40
2012-12-06,40.40
2012-12-07,39.40
2012-12-08,40.30
2012-12-09,40.90
2012-12-11,42.90
2012-12-12,45.10
2012-12-13,45.30
2012-12-14,45.10
2012-12-15,50.30
2012-12-16,51.30
2012-12-18,52.60
2012-12-19,46.20
2012-12-20,45.80
2012-12-21,46.10
2012-12-22,47.20
2012-12-23,46.60
2012-12-25,46.50
2012-12-26,48.40
2012-12-27,46.80
2012-12-28,46.30
2012-12-29,47.80
2012-12-30,47.90
2013-01-01,45.00
2013-01-02,43.20
2013-01-03,40.60
2013-01-04,39.30
2013-01-05,40.30
2013-01-06,43.50
2013-01-08,44.20
2013-01-09,40.60
2013-01-10,37.80
2013-01-11,38.30
2013-01-12,40.20
2013-01-13,40.50
2013-01-15,39.50
2013-01-16,37.60
2013-01-17,34.10
2013-01-18,32.90
2013-01-19,32.10
2013-01-20,33.20
2013-01-22,36.50
2013-01-23,37.00
2013-01-24,36.00
2013-01-25,36.00
2013-01-26,36.90
2013-01-27,38.00
2013-01-29,37.80
2013-01-30,36.50
2013-01-31,34.30
2013-02-01,36.30
2013-02-02,36.60
2013-02-03,36.80
2013-02-05,34.80
2013-02-06,33.10
2013-02-07,32.30
2013-02-08,32.40
2013-02-09,34.40
2013-02-15,39.60
2013-02-16,35.70
2013-02-17,36.50
2013-02-19,36.20
2013-02-20,35.70
2013-02-21,34.10
2013-02-22,32.70
2013-02-23,34.50
2013-02-24,37.40
2013-02-27,36.30
2013-02-28,33.30
2013-03-01,32.70
2013-03-02,31.50
2013-03-03,30.00
2013-03-05,29.90
2013-03-06,29.70
2013-03-07,31.00
2013-03-08,34.70
2013-03-09,36.10
2013-03-10,36.70
2013-03-12,37.40
2013-03-13,37.40
2013-03-14,38.00
2013-03-15,39.20
2013-03-16,37.20
2013-03-17,36.10
2013-03-19,36.20
2013-03-20,34.30
2013-03-21,33.40
2013-03-22,35.30
2013-03-23,38.00
2013-03-24,39.00
2013-03-26,39.30
2013-03-27,38.60
2013-03-28,36.10
2013-03-29,33.90
2013-03-30,36.40
2013-03-31,35.40
2013-04-02,33.10
2013-04-03,32.40
2013-04-06,33.10
2013-04-07,31.50
2013-04-09,31.50
2013-04-10,31.00
2013-04-11,33.10
2013-04-12,31.10
2013-04-13,29.00
2013-04-14,31.10
2013-04-16,30.20
2013-04-17,29.90
2013-04-18,30.40
2013-04-19,30.30
2013-04-20,30.10
2013-04-21,30.70
2013-04-23,34.20
2013-04-24,40.80
2013-04-25,41.70
2013-04-26,39.50
2013-04-27,45.90
2013-04-28,46.00
2013-04-30,38.80
2013-05-01,38.00
2013-05-02,39.00
2013-05-03,39.70
2013-05-04,40.30
2013-05-05,39.40
2013-05-07,40.00
2013-05-08,39.40
2013-05-09,38.00
2013-05-10,39.00
2013-05-11,39.50
2013-05-12,39.10
2013-05-14,37.60
2013-05-15,36.80
2013-05-16,35.10
2013-05-17,34.50
2013-05-18,34.70
2013-05-19,33.90
2013-05-21,31.10
2013-05-22,29.20
2013-05-23,30.40
2013-05-24,30.70
