price,16.527,46.934,6.851
"price, d1_price ",19.858,57.038,7.552
"price, d1_price, d1_origin_price ",18.235,49.580,7.041
"price, d1_price, d1_origin_price, p_banana_d1_price ",21.947,72.652,8.524
"price, d1_price, d1_origin_price, p_banana_d1_price, d5_avg_price ",18.642,78.178,8.842
"price, d1_price, week_day ",14.192,48.259,6.947
"price, d1_price, d1_origin_price, week_day ",17.382,67.202,8.198
"price, d1_price, d1_origin_price, p_banana_d1_price, week_day ",25.145,94.247,9.708
"price, d1_price, lunar_day_for_price ",14.548,53.113,7.288
"price, d1_price, d1_origin_price, lunar_day_for_price ",22.654,103.955,10.196
"price, d1_price, d1_origin_price, p_banana_d1_price, lunar_day_for_price ",21.105,55.595,7.456
"price, d1_price, week_day, lunar_day_for_price   ",17.565,45.292,6.730
"price, d1_price, d1_origin_price, week_day, lunar_day_for_price ",16.633,46.116,6.791
"price, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price ",20.992,58.759,7.665
"price, amount ",22.163,65.508,8.094
"price, amount, d1_price ",41.382,197.254,14.045
"price, amount, d1_price, d1_origin_price ",22.987,64.533,8.033
"price, amount, d1_price, d1_origin_price, p_banana_d1_price ",26.188,88.844,9.426
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, p_banana_d1_amount ",18.248,57.150,7.560
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, exchange_rate_price ",23.451,83.664,9.147
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price ",22.581,58.652,7.658
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",30.829,98.678,9.934
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day ",17.247,40.670,6.377
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day, lunar_day_for_price ",26.203,78.210,8.844
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price ",20.047,44.933,6.703
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount ",18.402,40.113,6.333
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount, d5_avg_price ",25.448,82.336,9.074
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price ",25.860,77.774,8.819
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, exchange_rate_price ",35.495,137.847,11.741
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, t_month_price ",19.598,33.666,5.802
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",19.522,39.290,6.268
