price,14.419,36.301,6.025
"price, amount ",17.076,44.408,6.664
"price, amount, d1_price ",21.913,56.782,7.535
"price, amount, d1_price, d1_origin_price ",15.737,40.491,6.363
"price, amount, d1_price, d1_origin_price, p_banana_d1_price ",23.197,82.564,9.086
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, p_banana_d1_amount ",16.941,40.230,6.343
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, exchange_rate_price ",16.147,41.551,6.446
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price ",22.851,71.557,8.459
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",17.279,39.745,6.304
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day ",25.557,57.397,7.576
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day, lunar_day_for_price ",18.047,45.184,6.722
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price ",25.929,59.174,7.692
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount ",16.182,40.364,6.353
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount, d5_avg_price ",24.943,54.523,7.384
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price ",19.584,43.257,6.577
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, exchange_rate_price ",22.103,55.603,7.457
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, t_month_price ",17.361,39.411,6.278
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",20.929,51.023,7.143
"price, d1_price ",14.546,37.316,6.109
"price, d1_price, d1_origin_price ",14.284,35.700,5.975
"price, d1_price, d1_origin_price, p_banana_d1_price ",19.674,42.450,6.515
"price, d1_price, d1_origin_price, p_banana_d1_price, d5_avg_price ",19.920,79.807,8.933
"price, d1_price, week_day ",13.539,34.834,5.902
"price, d1_price, d1_origin_price, week_day ",15.288,35.291,5.941
"price, d1_price, d1_origin_price, p_banana_d1_price, week_day ",17.009,32.217,5.676
"price, d1_price, lunar_day_for_price ",13.881,37.533,6.126
"price, d1_price, d1_origin_price, lunar_day_for_price ",14.781,43.988,6.632
"price, d1_price, d1_origin_price, p_banana_d1_price, lunar_day_for_price ",20.239,58.236,7.631
"price, d1_price, week_day, lunar_day_for_price ",21.914,71.715,8.468
"price, d1_price, d1_origin_price, week_day, lunar_day_for_price ",14.578,33.831,5.816
"price, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price ",17.357,48.932,6.995
